                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                0.74644,                0.58226,                 1.1597,                0.69587,                0.53547,                 0.6031,                0.36423,                 1.5541,                 1.4768,                 2.1417,             3.2886e-05,             3.2886e-05,             3.2886e-05
                     32,                0.72844,                0.56737,                 1.1483,                0.73632,                0.51705,                0.60991,                0.36484,                 1.5391,                 1.4625,                 2.1168,             3.1282e-05,             3.1282e-05,             3.1282e-05
                     33,                 0.7181,                0.55553,                 1.1431,                0.70038,                0.53257,                0.60365,                 0.3679,                 1.5438,                 1.4977,                 2.1236,             2.9678e-05,             2.9678e-05,             2.9678e-05
                     34,                0.70689,                0.54849,                 1.1341,                0.70418,                0.53404,                0.60697,                0.36929,                 1.5335,                 1.4659,                 2.1031,             2.8075e-05,             2.8075e-05,             2.8075e-05
                     35,                0.69213,                0.53243,                 1.1253,                0.72165,                0.54013,                0.61026,                0.37308,                 1.5227,                 1.4461,                 2.1083,             2.6471e-05,             2.6471e-05,             2.6471e-05
                     36,                0.67793,                 0.5194,                 1.1146,                0.63679,                0.57208,                0.61788,                0.37724,                 1.5113,                 1.4529,                 2.1197,             2.4867e-05,             2.4867e-05,             2.4867e-05
                     37,                0.67152,                0.51777,                 1.1113,                0.62571,                0.58881,                0.61571,                0.38098,                 1.5013,                 1.4665,                 2.0939,             2.3263e-05,             2.3263e-05,             2.3263e-05
                     38,                 0.6591,                0.51153,                  1.106,                0.64815,                0.56035,                0.60767,                0.37745,                 1.5052,                 1.4731,                 2.0955,             2.1659e-05,             2.1659e-05,             2.1659e-05
                     39,                0.65179,                0.49578,                 1.1001,                0.74393,                0.52851,                0.61546,                0.37265,                 1.5014,                 1.4669,                 2.1073,             2.0056e-05,             2.0056e-05,             2.0056e-05
                     40,                0.64362,                0.48664,                 1.0935,                0.69661,                0.55239,                0.61627,                0.37141,                 1.5061,                 1.4794,                 2.0945,             1.8452e-05,             1.8452e-05,             1.8452e-05
                     41,                0.52497,                0.33661,                 1.0434,                0.72212,                0.52132,                 0.6125,                 0.3775,                 1.5079,                 1.4453,                 2.1294,             1.6848e-05,             1.6848e-05,             1.6848e-05
                     42,                0.50837,                0.31997,                  1.031,                0.69816,                0.52696,                0.61553,                0.37743,                 1.4977,                 1.4505,                 2.1387,             1.5244e-05,             1.5244e-05,             1.5244e-05
                     43,                0.48897,                0.30602,                 1.0095,                0.64212,                0.56181,                0.60848,                0.37941,                 1.4805,                  1.456,                 2.1388,              1.364e-05,              1.364e-05,              1.364e-05
                     44,                0.47768,                0.29668,                 1.0069,                0.71145,                0.53407,                0.61373,                0.38072,                  1.492,                 1.4631,                 2.1436,             1.2037e-05,             1.2037e-05,             1.2037e-05
                     45,                0.46499,                0.28876,                 0.9975,                0.62715,                0.55426,                0.60748,                0.37408,                 1.4823,                 1.4458,                 2.1307,             1.0433e-05,             1.0433e-05,             1.0433e-05
                     46,                0.45282,                0.27664,                0.98808,                0.66448,                0.55528,                0.61343,                0.38321,                 1.4844,                  1.453,                 2.1541,              8.829e-06,              8.829e-06,              8.829e-06
                     47,                0.44436,                0.27025,                0.98274,                0.73433,                0.51667,                0.61534,                0.38538,                 1.4735,                 1.4557,                 2.1435,             7.2252e-06,             7.2252e-06,             7.2252e-06
                     48,                0.44205,                0.26974,                0.98266,                0.70825,                0.52774,                0.61217,                0.39103,                 1.4751,                 1.4393,                 2.1577,             5.6214e-06,             5.6214e-06,             5.6214e-06
                     49,                 0.4302,                  0.262,                0.97914,                0.72936,                0.51519,                0.60929,                0.38576,                 1.4721,                   1.46,                 2.1547,             4.0176e-06,             4.0176e-06,             4.0176e-06
                     50,                0.42759,                0.25868,                0.97513,                0.73457,                0.51968,                0.60862,                0.38421,                 1.4781,                 1.4544,                 2.1689,             2.4138e-06,             2.4138e-06,             2.4138e-06
